001,5.044,3.000,2.964,001
002,5.049,3.000,3.369,001
003,5.049,3.000,3.790,001
004,5.050,3.000,4.214,001
005,5.051,3.000,4.635,001
006,5.052,3.000,5.056,001
007,5.065,3.000,5.340,001
008,5.065,3.000,5.762,001
009,5.055,3.000,6.389,001
010,4.725,3.000,7.009,001
011,4.001,3.000,7.597,001
012,2.744,3.000,7.943,001
013,1.750,3.000,7.832,001
014,0.669,3.000,7.232,001
015,0.173,3.000,6.298,001
016,0.174,3.000,5.831,001
017,0.175,3.000,5.344,001
018,0.185,3.000,5.072,001
019,0.185,3.000,4.652,001
020,0.185,3.000,4.232,001
021,0.185,3.000,3.809,001
022,0.185,3.000,3.394,001
023,0.202,3.000,3.004,001
